Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
VSTIND.NS,63.5,90.79,rsiBuySignal,atrSellSignal,16.0,14.0,30.0,30.0,53.33,1.43
HARIOMPIPE.NS,142.21,90.59,atrBuySignal,atrSellSignal,3.0,4.0,7.0,7.0,42.86,0.64
PSPPROJECT.NS,240.68,90.26,atrBuySignal,atrSellSignal,17.0,18.0,35.0,35.0,48.57,0.38
INOXGREEN.NS,125.72,90.23,rsiBuySignal,atrSellSignal,3.0,5.0,8.0,8.0,37.5,0.72
LIKHITHA.NS,370.92,90.08,stochasticBuySignal,atrSellSignal,1.0,2.0,3.0,3.0,33.33,0.24
TRIVENI.NS,408.53,89.95,rsiBuySignal,atrSellSignal,15.0,25.0,41.0,41.0,36.59,0.22
AMDIND.NS,119.73,89.59,"atrBuySignal,rsiBuySignal",atrSellSignal,11.0,15.0,27.0,27.0,40.74,0.75
AVTNPL.NS,176.05,89.53,atrBuySignal,atrSellSignal,16.0,19.0,35.0,35.0,45.71,0.51
NLCINDIA.NS,187.24,89.33,atrBuySignal,atrSellSignal,16.0,24.0,40.0,40.0,40.0,0.48
SUNDARMHLD.NS,-18.87,89.18,"atrBuySignal,rsiBuySignal",atrSellSignal,9.0,10.0,19.0,19.0,47.37,-4.73
AURUM.NS,-51.31,89.03,"stochasticBuySignal,rsiBuySignal",atrSellSignal,1.0,0.0,1.0,1.0,100.0,-1.74
SHRIRAMFIN.NS,174.63,88.73,"atrBuySignal,rsiBuySignal",atrSellSignal,17.0,23.0,40.0,40.0,42.5,0.51
DELTAMAGNT.NS,192.36,88.72,atrBuySignal,atrSellSignal,21.0,25.0,47.0,47.0,44.68,0.46
KFINTECH.NS,69.25,88.69,rsiBuySignal,atrSellSignal,4.0,0.0,4.0,4.0,100.0,1.28
JMFINANCIL.NS,19.35,88.58,"atrBuySignal,rsiBuySignal",atrSellSignal,14.0,8.0,22.0,22.0,63.64,4.58
NRBBEARING.NS,201.78,88.57,atrBuySignal,atrSellSignal,15.0,20.0,35.0,35.0,42.86,0.44
360ONE.NS,148.91,88.39,"atrBuySignal,rsiBuySignal",atrSellSignal,10.0,9.0,19.0,19.0,52.63,0.59
ANDHRAPAP.NS,65.31,88.33,atrBuySignal,atrSellSignal,15.0,21.0,36.0,36.0,41.67,1.35
BANCOINDIA.NS,220.76,87.98,"atrBuySignal,rsiBuySignal",atrSellSignal,17.0,16.0,33.0,33.0,51.52,0.4
STARPAPER.NS,34.2,87.43,rsiBuySignal,atrSellSignal,12.0,21.0,33.0,33.0,36.36,2.56
DHRUV.NS,30.81,87.25,stochasticBuySignal,atrSellSignal,1.0,1.0,2.0,2.0,50.0,2.83
VLEGOV.NS,128.31,87.11,"atrBuySignal,rsiBuySignal",atrSellSignal,1.0,1.0,2.0,2.0,50.0,0.68
CENTRUM.NS,-41.27,86.83,"atrBuySignal,rsiBuySignal",atrSellSignal,6.0,15.0,21.0,21.0,28.57,-2.1
NELCAST.NS,196.08,86.37,"atrBuySignal,rsiBuySignal",atrSellSignal,12.0,14.0,26.0,26.0,46.15,0.44
