Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
OBEROIRLTY.NS,166.69,28.98,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,10.0,13.0,23.0,23.0,43.48,0.17
NAUKRI.NS,122.64,28.64,closeAboveATRBuySignal,atrSellSignal,11.0,19.0,30.0,30.0,36.67,0.23
GLAND.NS,-3.07,28.56,closeAboveATRBuySignal,atrSellSignal,6.0,11.0,17.0,17.0,35.29,-9.3
NATCOPHARM.NS,61.64,27.18,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,6.0,9.0,15.0,15.0,40.0,0.44
NESTLEIND.NS,64.94,26.6,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,10.0,16.0,26.0,26.0,38.46,0.41
PEL.NS,-6.46,26.28,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,7.0,13.0,20.0,20.0,35.0,-4.07
CIPLA.NS,182.78,26.01,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,12.0,13.0,25.0,25.0,48.0,0.14
ABCAPITAL.NS,97.93,25.33,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,9.0,19.0,28.0,28.0,32.14,0.26
BERGEPAINT.NS,17.01,24.76,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,11.0,8.0,19.0,19.0,57.89,1.46
NUVOCO.NS,-38.57,24.44,"stochasticBuySignal,closeAboveATRBuySignal",atrSellSignal,2.0,3.0,5.0,5.0,40.0,-0.63
SBICARD.NS,7.44,24.36,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,5.0,15.0,20.0,20.0,25.0,3.27
DMART.NS,156.82,24.36,closeAboveATRBuySignal,atrSellSignal,10.0,15.0,25.0,25.0,40.0,0.16
